,b'CALLS',b'\xc2\xa0',b'PUTS',b'Chart',b'OI',b'Chng in OI',b'Volume',b'IV',b'LTP',b'Net Chng',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Strike Price',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Net Chng',b'LTP',b'IV',b'Volume',b'Chng in OI',b'OI',b'Chart'
0,b'-',b'-',b'-',b'-',b'-',b'-',b'7350',b'1456.20',b'1677.80',b'7350',b'9250.00',b'-',b'-',b'2.40',b'3000',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
1,b'-',b'-',b'-',b'-',b'-',b'-',b'7350',b'1249.55',b'1621.90',b'7350',b'9300.00',b'3600',b'0.10',b'2.20',b'3000',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
2,b'75',b'-',b'-',b'-',b'1688.85',b'-',b'7350',b'1406.35',b'1581.95',b'7350',b'9350.00',b'900',b'0.15',b'1.95',b'3000',b'-',b'0.40',b'-',b'-',b'-',b'150',,,,,
3,b'-',b'-',b'-',b'-',b'-',b'-',b'150',b'1430.00',b'1455.95',b'150',b'9400.00',b'75',b'0.85',b'1.35',b'75',b'0.80',b'0.85',b'43.17',b'11',b'75',b'75',,,,,
4,b'-',b'-',b'-',b'-',b'-',b'-',b'7350',b'1224.60',b'1533.55',b'7350',b'9450.00',b'75',b'0.05',b'2.60',b'3000',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
5,b'12975',b'-1200',b'55',b'47.15',b'1348.00',b'131.30',b'150',b'1339.85',b'1352.75',b'150',b'9500.00',b'225',b'0.75',b'0.90',b'6975',b'-0.50',b'0.90',b'40.54',b'412',b'17025',b'37200',,,,,
6,b'-',b'-',b'-',b'-',b'-',b'-',b'1125',b'1220.50',b'1355.45',b'1125',b'9550.00',b'10050',b'0.10',b'2.30',b'3000',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
7,b'75',b'-',b'-',b'-',b'1478.65',b'-',b'1125',b'1170.95',b'1301.30',b'1125',b'9600.00',b'825',b'0.75',b'0.90',b'2775',b'-0.50',b'0.75',b'36.91',b'56',b'300',b'2925',,,,,
8,b'-',b'-',b'-',b'-',b'-',b'-',b'1125',b'1107.35',b'1335.35',b'1125',b'9650.00',b'10050',b'0.10',b'2.90',b'3000',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
9,b'75',b'-225',b'3',b'-',b'960.00',b'-48.35',b'150',b'1131.00',b'1161.15',b'150',b'9700.00',b'150',b'1.05',b'1.30',b'75',b'0.25',b'1.25',b'36.16',b'99',b'1500',b'2175',,,,,
10,b'1725',b'-',b'-',b'-',b'1184.10',b'-',b'75',b'1088.20',b'1106.55',b'75',b'9750.00',b'300',b'0.50',b'2.30',b'75',b'-0.15',b'2.15',b'37.18',b'1',b'75',b'975',,,,,
11,b'6300',b'600',b'77',b'38.18',b'1048.95',b'116.95',b'75',b'1042.70',b'1053.90',b'150',b'9800.00',b'75',b'1.10',b'1.30',b'975',b'-0.65',b'1.30',b'33.37',b'554',b'5025',b'32775',,,,,
